ts,family,instrument_key,action,qty_delta,fill_price,reference_price,commission,slippage_cost,position_after,reason
2023-02-27T09:05:00-06:00,MES,MES.v.0,BUY,2,4017.25,4017.0,2.5,2.5,2,signal_from_prior_close
2023-02-27T09:40:00-06:00,MES,MES.v.0,SELL,-2,4004.5,4004.75,2.5,2.5,0,signal_from_prior_close
2023-02-28T09:15:00-06:00,MES,MES.v.0,BUY,2,3983.75,3983.5,2.5,2.5,2,signal_from_prior_close
2023-02-28T09:20:00-06:00,MES,MES.v.0,SELL,-2,3983.25,3983.5,2.5,2.5,0,signal_from_prior_close
2023-03-01T09:00:00-06:00,MES,MES.v.0,BUY,2,3971.25,3971.0,2.5,2.5,2,signal_from_prior_close
2023-03-01T09:05:00-06:00,MES,MES.v.0,SELL,-2,3963.75,3964.0,2.5,2.5,0,signal_from_prior_close
2023-03-02T09:00:00-06:00,MES,MES.v.0,BUY,2,3940.25,3940.0,2.5,2.5,2,signal_from_prior_close
2023-03-02T14:35:00-06:00,MES,MES.v.0,SELL,-2,3987.25,3987.5,2.5,2.5,0,signal_from_prior_close
2023-03-03T08:55:00-06:00,MES,MES.v.0,BUY,2,4013.5,4013.25,2.5,2.5,2,signal_from_prior_close
2023-03-03T09:05:00-06:00,MES,MES.v.0,SELL,-2,4006.25,4006.5,2.5,2.5,0,signal_from_prior_close
2023-03-06T11:50:00-06:00,MES,MES.v.0,BUY,2,4065.5,4065.25,2.5,2.5,2,signal_from_prior_close
2023-03-06T11:55:00-06:00,MES,MES.v.0,SELL,-2,4065.5,4065.75,2.5,2.5,0,signal_from_prior_close
2023-03-08T09:40:00-06:00,MES,MES.v.0,BUY,2,3999.0,3998.75,2.5,2.5,2,signal_from_prior_close
2023-03-08T09:45:00-06:00,MES,MES.v.0,SELL,-2,3995.0,3995.25,2.5,2.5,0,signal_from_prior_close
2023-03-09T09:00:00-06:00,MES,MES.v.0,BUY,2,4012.75,4012.5,2.5,2.5,2,signal_from_prior_close
2023-03-09T09:15:00-06:00,MES,MES.v.0,SELL,-2,4006.0,4006.25,2.5,2.5,0,signal_from_prior_close
2023-03-10T08:55:00-06:00,MES,MES.v.0,SELL,-2,3890.25,3890.5,2.5,2.5,-2,signal_from_prior_close
2023-03-10T09:00:00-06:00,MES,MES.v.0,BUY,2,3895.75,3895.5,2.5,2.5,0,signal_from_prior_close
2023-03-14T09:20:00-05:00,MES,MES.v.0,BUY,2,3918.0,3917.75,2.5,2.5,2,signal_from_prior_close
2023-03-14T11:55:00-05:00,MES,MES.v.0,SELL,-2,3918.25,3918.5,2.5,2.5,0,signal_from_prior_close
2023-03-15T09:40:00-05:00,MES,MES.v.0,SELL,-2,3885.0,3885.25,2.5,2.5,-2,signal_from_prior_close
2023-03-15T10:00:00-05:00,MES,MES.v.0,BUY,2,3894.25,3894.0,2.5,2.5,0,signal_from_prior_close
2023-03-16T09:05:00-05:00,MES,MES.v.0,BUY,2,3913.5,3913.25,2.5,2.5,2,signal_from_prior_close
2023-03-16T09:10:00-05:00,MES,MES.v.0,SELL,-2,3900.5,3900.75,2.5,2.5,0,signal_from_prior_close
2023-03-17T08:55:00-05:00,MES,MES.v.0,SELL,-2,3976.0,3976.25,2.5,2.5,-2,signal_from_prior_close
2023-03-17T09:00:00-05:00,MES,MES.v.0,BUY,2,3977.25,3977.0,2.5,2.5,0,signal_from_prior_close
2023-03-20T09:10:00-05:00,MES,MES.v.0,BUY,2,3963.5,3963.25,2.5,2.5,2,signal_from_prior_close
2023-03-20T09:15:00-05:00,MES,MES.v.0,SELL,-2,3964.0,3964.25,2.5,2.5,0,signal_from_prior_close
2023-03-21T10:15:00-05:00,MES,MES.v.0,SELL,-2,4019.25,4019.5,2.5,2.5,-2,signal_from_prior_close
2023-03-21T10:20:00-05:00,MES,MES.v.0,BUY,2,4020.75,4020.5,2.5,2.5,0,signal_from_prior_close
2023-03-22T10:10:00-05:00,MES,MES.v.0,BUY,2,4037.5,4037.25,2.5,2.5,2,signal_from_prior_close
2023-03-22T10:15:00-05:00,MES,MES.v.0,SELL,-2,4035.5,4035.75,2.5,2.5,0,signal_from_prior_close
